country,communityID,CoMgmtSite,dataProvider,lonDD,latDD,APECOSM_ipsl-cm6a-lr,BOATS_ipsl-cm6a-lr,DBEM_ipsl-cm6a-lr,DBPM_ipsl-cm6a-lr,FEISTY_ipsl-cm6a-lr,EcoOcean_ipsl-cm6a-lr,EcoTroph_ipsl-cm6a-lr,MACROECOLOGICAL_ipsl-cm6a-lr,ZooMSS_ipsl-cm6a-lr,BOATS_gfdl-esm4,DBEM_gfdl-esm4,FEISTY_gfdl-esm4,EcoOcean_gfdl-esm4,EcoTroph_gfdl-esm4,MACROECOLOGICAL_gfdl-esm4,ZooMSS_gfdl-esm4
Madagascar,Ampasimena,Rasis,Josh,48.16526667,-13.31202778,5.009776107849586,4.642138566117413,0.004300487871885931,221.23875500493634,1.8343857021688048,14.78796076997673,80.97543683990096,7.015757312001111,39.032878987220926,2.865930230325872,0.004043513640564357,0.8285684871319783,10.59901877220998,51.76174100083915,4.0313404944639455,24.12201672638483
Madagascar,Anjiahamahavita,Dauphin,Josh,47.78710556,-14.02934167,4.6732085778412396,3.9891680276085277,0.004474649836353798,210.81612440110564,1.6515249143320074,14.21772059136529,74.33567811151367,6.098176683055557,36.69801132292084,2.721665433983676,0.004429354604210245,0.820744178494139,10.652379464783102,51.4511117475762,3.9937435184839134,24.227465875034813
Madagascar,Ambiba,Nosy_Valiha,Josh,47.80941111,-14.17657778,4.554070908418373,3.807716881298714,0.004474649836353798,211.84817537073542,1.6106530186927734,14.21772059136529,71.41568996720581,5.809697092387313,35.81495603821392,2.7194852560185123,0.004429354604210245,0.809093998639753,10.652379464783102,50.999395378466836,3.9875985055370182,24.335082753818728
Madagascar 2,Ambodipaka,Ambodipaka,Josh,49.70477222,-15.87189722,3.989836619659994,3.0192048939084635,0.00395092833284205,218.80719380469952,1.660202498186052,11.660842362719436,63.98542045961621,4.774109546904651,32.771508762138566,2.5909023858882048,0.00406459452606401,0.7707370738059183,7.878760297081478,48.50271967880402,3.9563870754268367,24.88615529537474
Madagascar,Ifaty,Fimihara,Josh,43.61593333,-23.14531944,4.285321600905845,4.13829816227194,0.001964738628544986,209.99916219418463,1.2255475257778747,14.415579385473377,79.64680650745835,6.834560058077131,36.75174728331998,3.225036138882971,0.002031350860625392,1.0760901448333413,13.014554844458573,39.70731411999767,5.161729875036546,27.261107473902012
Tanzania,Mkokotoni,Mkokotoni,Josh,39.25451111,-5.877127777999999,7.309250290640282,5.484917700022791,0.008282052175074398,174.30175524409444,3.5741959179677467,17.204619648893395,89.07026428395446,8.436333520899714,42.889428571455014,3.5747332307875705,0.005432195055643939,1.0727846315380583,11.754879576846388,45.60289330688967,5.400742831368857,32.21640499980573
Tanzania,Matemwe,Matemwe,Josh,39.35114722,-5.8759,7.309250290640282,5.484917700022791,0.008282052175074398,174.30175524409444,3.5741959179677467,17.204619648893395,89.07026428395446,8.436333520899714,42.889428571455014,3.5747332307875705,0.005432195055643939,1.0727846315380583,11.754879576846388,45.60289330688967,5.400742831368857,32.21640499980573
Tanzania,Pwani Mchangani,Pwani_Mchangani,Josh,39.35631667,-5.922966667000001,7.309250290640282,5.484917700022791,0.008282052175074398,174.30175524409444,3.5741959179677467,17.204619648893395,89.07026428395446,8.436333520899714,42.889428571455014,3.5747332307875705,0.005432195055643939,1.0727846315380583,11.754879576846388,45.60289330688967,5.400742831368857,32.21640499980573
Tanzania,Mtende,Mtende,Josh,39.53041111,-6.496297222000001,7.244069784526824,5.364625033118478,0.008210559196294426,174.33071580444215,3.5348526670799827,15.918199195526284,88.96268453603857,8.237459361247659,42.27472195114722,3.439721192164692,0.0054995288481571244,1.0654587816783525,11.420059290964877,45.216244112118524,5.256549136515726,31.08720881506596
Tanzania,Jambiani,Jambiani,Josh,39.54517222,-6.3153277779999994,7.309250290640282,5.484917700022791,0.008210559196294426,174.30175524409444,3.5741959179677467,16.968343330076348,89.07026428395446,8.436333520899714,42.889428571455014,3.439721192164692,0.0054995288481571244,1.0709944490845087,11.532789267745201,45.44218825832055,5.344960012589556,31.67302259771924
Tanzania,Mzuri,Mzuri,Josh,39.56576667,-6.4098388889999995,7.244069784526824,5.364625033118478,0.008210559196294426,174.33071580444215,3.5348526670799827,16.16259583979709,88.96268453603857,8.237459361247659,42.27472195114722,3.439721192164692,0.0054995288481571244,1.0587935582561487,11.504694830076355,45.087846128982534,5.31252586140811,31.57143016970957
Indonesia,LampuyangVillage,LampuyangVillage,Josh,95.12980556,5.671222222000001,11.727140165422952,9.477198103313036,0.008048564705119624,174.88640568435,4.762778699761936,19.104596647076896,122.49508937866422,13.7493486562456,48.52371643429338,5.429925101591575,0.006293199645118032,2.502676163777763,16.620427374788754,78.87821849486942,9.386042313282406,52.64583637592642
Indonesia,Iboih,Iboih,Josh,95.25813889,5.8706111110000005,12.033824883297012,9.923564539049565,0.008048564705119624,159.26849926135444,5.285522600294089,18.83430822852084,118.56828068150756,14.25257520698635,49.00517177210577,5.7379464549374015,0.006293199645118032,2.5878566063389457,16.31106279597678,80.30793429197767,9.500943368632651,54.360129687817384
Indonesia,BateeShok,Pria Laot,Josh,95.31266667,5.66925,11.794131024660679,9.6726738781058,0.008186208660949556,171.13304083410392,4.829574341541225,19.104596647076896,122.51746085995302,13.899411868676903,48.43907098089071,5.637465468620452,0.006490511758098875,2.502676163777763,16.620427374788754,78.87821849486942,9.386042313282406,52.64583637592642
