country,communityID,CoMgmtSite,dataProvider,lonDD,latDD,APECOSM_ipsl-cm6a-lr,BOATS_ipsl-cm6a-lr,DBEM_ipsl-cm6a-lr,DBPM_ipsl-cm6a-lr,FEISTY_ipsl-cm6a-lr,EcoOcean_ipsl-cm6a-lr,EcoTroph_ipsl-cm6a-lr,MACROECOLOGICAL_ipsl-cm6a-lr,ZooMSS_ipsl-cm6a-lr,BOATS_gfdl-esm4,DBEM_gfdl-esm4,FEISTY_gfdl-esm4,EcoOcean_gfdl-esm4,EcoTroph_gfdl-esm4,MACROECOLOGICAL_gfdl-esm4,ZooMSS_gfdl-esm4
Madagascar,Ampasimena,Rasis,Josh,48.16526667,-13.31202778,6.78570711877593,8.529998423737828,20.943916452431523,-3.503161583303238,7.241622259707259,-3.937527712097577,3.383703374155256,8.694153403275283,2.9778559098331048,-13.151850784946229,-4.82718414027995,-16.490911563161692,-9.780035353553739,-11.846764656411146,-8.62432110787953,-15.343576136703795
Madagascar,Anjiahamahavita,Dauphin,Josh,47.78710556,-14.02934167,8.900422856023905,9.401629965781154,16.4357071098294,-3.513577837911541,9.66355070700149,-3.8723512047151187,4.215786807151289,9.903866593126853,1.802983593159646,-12.952246043943871,-4.694012455696528,-16.03060937113343,-9.746641290438884,-11.713221354822856,-8.377271381958074,-14.348864299108744
Madagascar,Ambiba,Nosy_Valiha,Josh,47.80941111,-14.17657778,9.046989734037103,9.77409827997704,16.4357071098294,-3.4661783908571664,9.887873295135453,-3.8723512047151187,4.367924945865642,10.299611391002195,2.0080325137359356,-12.989358887431612,-4.694012455696528,-15.898643058854066,-9.746641290438884,-11.769638657344949,-8.500680123930914,-14.092366016790104
Madagascar 2,Ambodipaka,Ambodipaka,Josh,49.70477222,-15.87189722,5.409318151391673,11.084306048526926,18.699577387370447,-5.146554347773158,4.349269599454342,-3.0853583819456354,2.5699817690390425,9.19288000297367,1.3374290705090663,-15.291173834397952,-4.589838651345923,-17.13769360741769,-9.269203088165446,-13.051436386413362,-10.863294284330038,-15.586261107967935
Madagascar,Ifaty,Fimihara,Josh,43.61593333,-23.14531944,5.7255026863371805,2.2644980884809263,10.07267793362705,-4.306213121100599,0.5408958403726682,-2.5586548233573536,0.11204294663580416,-2.297775584752615,-0.4753684841226957,-17.456139459368735,-7.935054777141426,-22.24741287578925,-9.556193165577998,-17.16688456964186,-17.469108639529118,-24.377918357300377
Tanzania,Mkokotoni,Mkokotoni,Josh,39.25451111,-5.877127777999999,-2.936860810939279,-1.6545109288773618,12.798918604657072,-5.014621086954795,-2.689078587946059,-8.232437571093376,-2.7268253674776033,-0.6544274162564867,0.9594162093393699,-13.649553817375338,-8.156994017396869,-19.41434270474417,-13.446863581603008,-12.530293470462162,-11.341456587930676,-25.332904518980293
Tanzania,Matemwe,Matemwe,Josh,39.35114722,-5.8759,-2.936860810939279,-1.6545109288773618,12.798918604657072,-5.014621086954795,-2.689078587946059,-8.232437571093376,-2.7268253674776033,-0.6544274162564867,0.9594162093393699,-13.649553817375338,-8.156994017396869,-19.41434270474417,-13.446863581603008,-12.530293470462162,-11.341456587930676,-25.332904518980293
Tanzania,Pwani Mchangani,Pwani_Mchangani,Josh,39.35631667,-5.922966667000001,-2.936860810939279,-1.6545109288773618,12.798918604657072,-5.014621086954795,-2.689078587946059,-8.232437571093376,-2.7268253674776033,-0.6544274162564867,0.9594162093393699,-13.649553817375338,-8.156994017396869,-19.41434270474417,-13.446863581603008,-12.530293470462162,-11.341456587930676,-25.332904518980293
Tanzania,Mtende,Mtende,Josh,39.53041111,-6.496297222000001,-2.718450809989692,-1.3707696078797404,13.219346447471336,-5.009650479296768,-2.453003818478705,-7.619109221651243,-2.430268465274843,-0.18966727115661275,1.290473692649563,-13.819103414939127,-8.081351877464904,-19.397297491291333,-13.205290146480731,-12.456554282035292,-11.37557616648419,-25.43982133980942
Tanzania,Jambiani,Jambiani,Josh,39.54517222,-6.3153277779999994,-2.936860810939279,-1.6545109288773618,13.219346447471336,-5.014621086954795,-2.689078587946059,-8.192966478785845,-2.7268253674776033,-0.6544274162564867,0.9594162093393699,-13.819103414939127,-8.081351877464904,-19.50233337661539,-13.459609214409907,-12.510922469521956,-11.38062424024776,-25.31629141469649
Tanzania,Mzuri,Mzuri,Josh,39.56576667,-6.4098388889999995,-2.718450809989692,-1.3707696078797404,13.219346447471336,-5.009650479296768,-2.453003818478705,-8.289778557315586,-2.430268465274843,-0.18966727115661275,1.290473692649563,-13.819103414939127,-8.081351877464904,-19.48925327408113,-13.65688478279542,-12.63543890117117,-11.402603243342247,-25.63207138560355
Indonesia,LampuyangVillage,LampuyangVillage,Josh,95.12980556,5.671222222000001,-1.296796381813714,0.8730389518074144,-1.965676244211223,-4.224793133565285,-0.9826171701544872,-12.713750187346683,-1.610280421680832,0.6084667298524193,3.7059241231023776,-9.938517318014984,-3.6023943072720166,-12.608792078293318,-7.295906750765823,-4.9234189564915765,-7.022366395854496,-14.347211895657852
Indonesia,Iboih,Iboih,Josh,95.25813889,5.8706111110000005,-0.7635521502394993,1.3742894633582248,-1.965676244211223,-3.752470258591656,-1.0226099037668246,-13.053088897456178,-1.2053845400691543,0.5026970936277575,3.4526269302543655,-9.333102022026685,-3.6023943072720166,-12.367614043887109,-7.359191242624796,-5.032351181247474,-7.080422566292254,-14.547249086228643
Indonesia,BateeShok,Pria Laot,Josh,95.31266667,5.66925,-1.1499912063941298,1.224813686066395,-1.9428694609541108,-4.374020217962582,-1.0480274194972994,-12.713750187346683,-1.5575905803260626,0.49276002306499755,3.663994982640495,-9.375012987779218,-3.31192762135607,-12.608792078293318,-7.295906750765823,-4.9234189564915765,-7.022366395854496,-14.347211895657852
Indonesia,KeuneukaiVillage,KeuneukaiVillage,Josh,95.31372222,5.77725,-0.842810154121787,1.3742894633582248,-1.965676244211223,-4.07973975565138,-0.9448828880008975,-13.053088897456178,-1.338469185948099,0.5956022106110348,3.534571027175981,-9.333102022026685,-3.6023943072720166,-12.608792078293318,-7.359191242624796,-4.9234189564915765,-7.022366395854496,-14.347211895657852
Indonesia,KotaBawahBarat,Pasiran,Josh,95.31807778,5.89025,-0.7635521502394993,1.406898593114625,-1.965676244211223,-3.752470258591656,-1.0226099037668246,-13.053088897456178,-1.2053845400691543,0.5026970936277575,3.4526269302543655,-9.206111872602419,-3.6023943072720166,-12.367614043887109,-7.359191242624796,-5.032351181247474,-7.080422566292254,-14.547249086228643
