Unnamed: 0,FID,pointid,PopDens2020,Country,ISO_A2,ISO_A3,ISO_N3,UN_A3,latDD,lonDD,APECOSM_ipsl-cm6a-lr,BOATS_ipsl-cm6a-lr,DBEM_ipsl-cm6a-lr,DBPM_ipsl-cm6a-lr,FEISTY_ipsl-cm6a-lr,EcoOcean_ipsl-cm6a-lr,EcoTroph_ipsl-cm6a-lr,MACROECOLOGICAL_ipsl-cm6a-lr,ZooMSS_ipsl-cm6a-lr,BOATS_gfdl-esm4,DBEM_gfdl-esm4,FEISTY_gfdl-esm4,EcoOcean_gfdl-esm4,EcoTroph_gfdl-esm4,MACROECOLOGICAL_gfdl-esm4,ZooMSS_gfdl-esm4
1,37032,8261171,47.215900399999995,Indonesia,ID,IDN,360,360,-2.3125,125.9540024,-9.535072361898377,-15.780946759648973,-68.14840634129553,-3.6688529055468933,-19.84876827065506,-3.652865065240718,-12.330110249344994,-16.778353150982728,-14.692503487818565,-26.89115792570608,-39.653723606369915,-44.78127802120072,-19.565013305686318,-35.1799861457297,-27.9948206061153,-51.85627482910151
2,1411,12576308,46.811798100000004,Madagascar,MG,MDG,450,450,-19.9874992,48.7625008,9.52702153058691,10.650106547138716,23.51842207594106,-3.9041388297975654,12.033225437344065,-1.5831569567038017,3.085951457437597,3.4365646077464174,0.6931462534996768,-13.195201550692726,-3.1600904107252914,-14.0781742686662,-13.012574996244142,-10.991463355505438,-11.317103714721611,-36.356626678928514
3,14755,9171816,520.2849731000001,Indonesia,ID,IDN,360,360,-5.520830200000001,105.3539963,11.537048893144043,11.988156496781844,-33.71847829286071,-2.514128337210242,13.50017268592194,-22.6600979888813,16.835265950275314,28.51164045648762,29.751155485681657,-16.402774569045153,-44.20086001000766,-16.075894664317538,-23.314554269843,-11.893164284315816,-15.588274596114848,-17.76137847060183
4,60950,4492000,109.65699769999999,Philippines,PH,PHL,608,608,11.2875004,125.1039963,31.13701160909368,14.475742462304009,13.386462234312502,-3.400640216306472,0.44807033574973953,-3.8953195834016574,9.120162614507432,16.720098360210443,6.221913179936811,-27.514428399776868,-25.535208626864893,-32.60072802065087,-2.7815887689487506,-34.48098859572819,-25.80387425686116,-32.17713072666246
5,14176,9265696,1386.27002,Indonesia,ID,IDN,360,360,-5.979169799999999,107.1959991,9.70261973034745,11.594205347181209,-61.65218505894823,-2.0520972131535697,17.767640742492972,-29.999763211586206,18.108741660244256,25.822930732346805,26.191763201451156,-16.653137680868824,-63.87289755994943,-10.200949890312394,-31.25188698992941,-11.514991373792771,-15.10404903324708,-13.764518649959257
6,61517,4398716,58.681098899999995,Philippines,PH,PHL,608,608,11.6208,124.5630035,28.69143095530122,16.883198658067023,6.370403618902265,-3.492014169983182,0.5098785349308965,-3.6090268431121952,8.716356806335913,15.925126447337012,5.741129563072356,-25.52430899649406,-22.492103175727827,-27.99932676506255,-8.170215949829851,-29.527864086423083,-22.865290420697416,-29.9532756794326
7,48816,7344078,69.373497,Indonesia,ID,IDN,360,360,0.779167,99.0457993,-5.213963615795136,-11.968096773934766,-40.34075146456758,-2.466626493723867,4.4489632173411175,-5.845509402484595,-1.8324848470689825,-1.501361082948538,7.068740700916032,-13.609217484231262,-13.672311635919154,-11.815400098855422,-12.290894160143818,-10.625849924907326,-11.084115302402175,-6.717098316039993
8,63705,3995631,762.9920043999999,Philippines,PH,PHL,608,608,12.9708004,123.9039993,24.852679372782504,21.68167971544934,6.175510309310872,-3.4308614264211057,0.6349269007088099,-4.681410351824189,9.802560085926082,16.40710549787263,5.480611939975355,-25.151284686332996,-20.82345409956008,-26.70022814801216,-7.4921972741127,-26.266385681462744,-21.94902484650678,-30.36086518231782
9,40500,8054088,60.264198300000004,Indonesia,ID,IDN,360,360,-1.6541700000000001,136.1289978,-20.436854930494885,-34.72308774411134,-55.1167951300753,-3.5859171322102257,-24.854887242628344,-23.20165900541362,-24.276164638897214,-34.27278264457425,-34.28007978135965,-41.00144657093958,-51.93798923597075,-49.324347560233704,-29.410169509226712,-41.34438615742816,-38.40342265466542,-44.14749413180819
10,54429,6296648,552.0089722,Indonesia,ID,IDN,360,360,4.5458298,98.0625,-0.2066864473970753,5.217681893391957,-14.741675149071277,-2.295876990884793,7.296297422786147,-8.859090095663092,3.316200027709848,5.340920571501129,3.460361912682708,-11.475303284907978,-3.4708637191574687,-15.16200277915204,-8.860603069845407,-9.47671553891698,-10.577125509459018,-15.51883402199804
