country,communityID,CoMgmtSite,dataProvider,lonDD,latDD,APECOSM_ipsl-cm6a-lr,BOATS_ipsl-cm6a-lr,DBEM_ipsl-cm6a-lr,DBPM_ipsl-cm6a-lr,FEISTY_ipsl-cm6a-lr,EcoOcean_ipsl-cm6a-lr,EcoTroph_ipsl-cm6a-lr,MACROECOLOGICAL_ipsl-cm6a-lr,ZooMSS_ipsl-cm6a-lr,BOATS_gfdl-esm4,DBEM_gfdl-esm4,FEISTY_gfdl-esm4,EcoOcean_gfdl-esm4,EcoTroph_gfdl-esm4,MACROECOLOGICAL_gfdl-esm4,ZooMSS_gfdl-esm4
Madagascar,Ampasimena,Rasis,Josh,48.16526667,-13.31202778,1.682962391183307,1.0314121580379032,11.107432202972056,-2.4258136669713215,-6.500266791201403,-3.737803319469546,-1.6078897472171394,-1.7238964783309219,-3.249200780407946,-11.240202870396853,-4.296738683401758,-15.451977609577039,-11.689115314760167,-11.823436843333933,-8.363667452892532,-25.657894319460905
Madagascar,Anjiahamahavita,Dauphin,Josh,47.78710556,-14.02934167,2.6732417927022745,2.0796266958961196,8.843642824098197,-2.469812704358254,-5.020386001329458,-3.536720303891183,-0.9915545018549854,-0.06183770438575875,-3.3317451082610527,-11.483154132277463,-4.620131111756631,-15.26266818936789,-11.517619277825997,-11.765902458282529,-8.39163963163122,-25.056158432643183
Madagascar,Ambiba,Nosy_Valiha,Josh,47.80941111,-14.17657778,2.652429726312211,2.446510197323004,8.843642824098197,-2.448606364808581,-5.134557645083316,-3.536720303891183,-0.9254660724810404,0.25494281735500834,-3.2929242664132774,-11.707401396492234,-4.620131111756631,-15.296355085977687,-11.517619277825997,-11.846752208770928,-8.548522335723108,-24.895882514560707
Madagascar 2,Ambodipaka,Ambodipaka,Josh,49.70477222,-15.87189722,-0.19996052897207628,3.123864140683774,8.376785765761795,-3.337017772649864,-4.811391575016599,-2.497877330385001,-2.217593892612968,-1.65629684055838,-5.021151548580027,-14.005604308137709,-5.12268933321367,-16.37930871298955,-12.332864198361582,-13.047903078444012,-11.188940013037453,-23.351535522916844
Madagascar,Ifaty,Fimihara,Josh,43.61593333,-23.14531944,-2.4610852915160852,-3.5309903687180566,4.4590370641665045,-2.9204046423717545,-3.8000210929634792,-1.9256603614427381,-3.8419301789154647,-8.277322502920526,-1.5997454490211727,-16.692245339658918,-7.306015266007759,-21.56844178674342,-10.445382809454207,-16.57924397157896,-17.37997196180434,-28.958132512718905
Tanzania,Mkokotoni,Mkokotoni,Josh,39.25451111,-5.877127777999999,-6.087126816117339,-4.892201162754384,8.649830764439791,-3.6482093442168018,-9.126147103816196,-7.02756855875487,-6.721095625736639,-8.155960295617016,-6.678012249566134,-12.245821318418148,-8.31024161484697,-21.09497178503278,-19.119265662399766,-15.257061164221874,-12.728695772500732,-30.983783155494027
Tanzania,Matemwe,Matemwe,Josh,39.35114722,-5.8759,-6.087126816117339,-4.892201162754384,8.649830764439791,-3.6482093442168018,-9.126147103816196,-7.02756855875487,-6.721095625736639,-8.155960295617016,-6.678012249566134,-12.245821318418148,-8.31024161484697,-21.09497178503278,-19.119265662399766,-15.257061164221874,-12.728695772500732,-30.983783155494027
Tanzania,Pwani Mchangani,Pwani_Mchangani,Josh,39.35631667,-5.922966667000001,-6.087126816117339,-4.892201162754384,8.649830764439791,-3.6482093442168018,-9.126147103816196,-7.02756855875487,-6.721095625736639,-8.155960295617016,-6.678012249566134,-12.245821318418148,-8.31024161484697,-21.09497178503278,-19.119265662399766,-15.257061164221874,-12.728695772500732,-30.983783155494027
Tanzania,Mtende,Mtende,Josh,39.53041111,-6.496297222000001,-5.788651486315155,-4.403517970010773,9.025890789029534,-3.5969982175398374,-8.662802355747633,-6.501027923574765,-6.211987034287636,-7.363019274190319,-6.100268282580201,-12.206466980660979,-8.16479614301091,-21.302383164028782,-18.720391893826395,-15.371401131353036,-12.890082730013908,-31.048583409531716
Tanzania,Jambiani,Jambiani,Josh,39.54517222,-6.3153277779999994,-6.087126816117339,-4.892201162754384,9.025890789029534,-3.6482093442168018,-9.126147103816196,-6.947129544801644,-6.721095625736639,-8.155960295617016,-6.678012249566134,-12.206466980660979,-8.16479614301091,-21.304204835883876,-19.08528590961214,-15.356423043411127,-12.844933898560218,-30.83819623350489
Tanzania,Mzuri,Mzuri,Josh,39.56576667,-6.4098388889999995,-5.788651486315155,-4.403517970010773,9.025890789029534,-3.5969982175398374,-8.662802355747633,-7.055217523857216,-6.211987034287636,-7.363019274190319,-6.100268282580201,-12.206466980660979,-8.16479614301091,-21.10703719015016,-19.306424533749112,-15.322721764934998,-12.79335239176822,-31.036510993545352
Indonesia,LampuyangVillage,LampuyangVillage,Josh,95.12980556,5.671222222000001,0.15900414910656746,3.1957597482456856,1.2598588124170362,-3.147175893064369,1.2167370075257145,-10.22008456370662,2.0160862103024035,5.348867972701532,7.426290478789888,-2.2987965943918276,3.3307442088428507,-4.342566247825452,1.8859327732996922,1.241274965928163,1.7700171133308906,-8.379862376192937
Indonesia,Iboih,Iboih,Josh,95.25813889,5.8706111110000005,0.8120201324479215,3.895293884379347,1.2598588124170362,-2.9194096484536636,1.73573518221799,-10.502899759380124,2.585920684439147,5.571465377116436,7.301580914276573,-2.1516987052269565,3.3307442088428507,-3.8907832185176017,1.9173910209159706,1.182398373888116,1.9272704995683343,-8.621580258288098
