Unnamed: 0,FID,pointid,PopDens2020,Country,ISO_A2,ISO_A3,ISO_N3,UN_A3,latDD,lonDD,APECOSM_ipsl-cm6a-lr,BOATS_ipsl-cm6a-lr,DBEM_ipsl-cm6a-lr,DBPM_ipsl-cm6a-lr,FEISTY_ipsl-cm6a-lr,EcoOcean_ipsl-cm6a-lr,EcoTroph_ipsl-cm6a-lr,MACROECOLOGICAL_ipsl-cm6a-lr,ZooMSS_ipsl-cm6a-lr,BOATS_gfdl-esm4,DBEM_gfdl-esm4,FEISTY_gfdl-esm4,EcoOcean_gfdl-esm4,EcoTroph_gfdl-esm4,MACROECOLOGICAL_gfdl-esm4,ZooMSS_gfdl-esm4
1,37032,8261171,47.215900399999995,Indonesia,ID,IDN,360,360,-2.3125,125.9540024,-21.101543350517215,-27.194203450355868,-67.24534434865124,-7.353925869684364,-28.183242731718007,-1.1148053392131985,-17.948927048464714,-25.23522359695586,-25.993084186341143,-39.733599020352,-72.11316612958575,-56.92020702408141,-23.664864920806995,-47.30507429745094,-38.82670160885936,-60.27161214476897
2,1411,12576308,46.811798100000004,Madagascar,MG,MDG,450,450,-19.9874992,48.7625008,38.44265063808328,25.63469851129203,72.1084735137989,-7.923157332129616,30.79839843452654,-3.9366551178151132,14.612829355443901,27.00732748003436,8.832694010072162,-26.75590324474347,-9.424227589511702,-29.711600358296074,-15.247999582629756,-24.916052625609442,-21.578995322155194,-46.13384805727744
3,14755,9171816,520.2849731000001,Indonesia,ID,IDN,360,360,-5.520830200000001,105.3539963,14.091098129374613,11.814741989260424,-53.32085466449685,-8.939919620370384,21.051788233632962,-43.90793640695626,22.725386378601954,40.39777796092261,23.91174956876707,-28.708501653287144,-74.46655278462791,-27.955810040800134,-39.249798568708016,-19.53171784996136,-28.910182719219847,-31.05516929021942
4,60950,4492000,109.65699769999999,Philippines,PH,PHL,608,608,11.2875004,125.1039963,51.74845322965815,18.07011577463371,-6.041056524032385,-8.08936224592679,-33.06560827788996,-2.8614995540191646,13.154658358345461,26.768519274126533,10.041836877614685,-42.456830936921605,-52.73690101585997,-40.99908462144578,-15.891399419183683,-48.21033347149799,-37.060826466503016,-40.394891512044765
5,14176,9265696,1386.27002,Indonesia,ID,IDN,360,360,-5.979169799999999,107.1959991,9.580042830867953,9.486358599814215,-69.69843266672142,-7.82348414648828,24.251523202892432,-57.260310350720324,21.249118567105008,31.886550075607765,12.939333143746667,-27.773090705661506,-84.91308781529592,-19.06631283677577,-51.31676950489022,-19.043313083447856,-26.593455916354657,-23.94757909809586
6,61517,4398716,58.681098899999995,Philippines,PH,PHL,608,608,11.6208,124.5630035,44.59962230002801,21.356743078155137,-7.922892252345514,-8.1886360353289,-32.39104065281011,-2.0234739994229423,10.485818172842599,23.030462003459995,10.506362931626123,-40.12311847882935,-48.315321207773195,-36.51480584533297,-19.280036495724783,-41.426897678597406,-33.34222405213075,-35.484353659144
7,48816,7344078,69.373497,Indonesia,ID,IDN,360,360,0.779167,99.0457993,0.21532883653534451,-13.657761247796717,-36.899828333219716,-5.539274930185234,19.439243724506316,-9.040256905813415,5.998181736301578,11.20453895031015,20.60207341720237,-24.626934279334233,-48.80206878828584,-20.518328360716797,-27.870802893928726,-17.343970709010193,-21.52711098745772,-20.651647583004127
8,63705,3995631,762.9920043999999,Philippines,PH,PHL,608,608,12.9708004,123.9039993,30.017671938608913,29.566601192141583,-3.6937224815514647,-8.016404084379369,-32.38114920110504,-2.6530625296464994,10.299591088624727,20.040791225092434,10.086368001011682,-39.427517445228474,-44.674997790463536,-35.53709467102074,-15.827265875658492,-36.89574657110162,-31.60150064972348,-34.469535655737225
9,40500,8054088,60.264198300000004,Indonesia,ID,IDN,360,360,-1.6541700000000001,136.1289978,-47.22982508935891,-64.86794185254799,-70.77834923783563,-8.60265249593468,-55.30167130845117,-35.94646614489986,-46.164320073266694,-65.15407301520868,-55.960213256051375,-61.70967780864913,-67.45818508554649,-65.22347057147422,-46.853056738977884,-66.07685417778603,-57.4673552617555,-53.911319668234036
10,54429,6296648,552.0089722,Indonesia,ID,IDN,360,360,4.5458298,98.0625,1.5265282161812221,-0.9764605457778908,-27.421953562368017,-4.794975158627823,13.463033396425384,-14.08364431764385,4.199265300472033,4.901129983762043,3.097006633677757,-20.135443844712608,-31.195048390836234,-22.2001988116029,-19.3828562089957,-14.376682894145198,-18.282449757373918,-26.252366741246536
