Community,Year,S_agr,S_fsh,S_agrfsh,MSL1,MSL2
AH,2001,0.0032498862084660908,0.10689916366185896,0.11390712132127322,-0.6846702646091879,-0.6263590275186829
MU,2001,0.13131426644940158,0.01380929697687063,0.27021204735693877,-1.5841621497060174,0.7916440629343533
AH,2009,0.00125,0.11182222222222223,0.11486486486486486,-0.9116183665889711,-0.3070689184831702
MU,2009,0.12490869247626002,0.026296566837107377,0.22592152199762186,-1.5549322878445395,0.8124234596352091
AH,2012,0.005067567567567568,0.11146437053995079,0.11146437053995079,-0.49325247603828337,-0.9868235451612616
MU,2012,0.1381417727571574,0.010673846212598577,0.24513257575757577,-1.5673175220793472,0.9157607709429217
AH,2016,0.0014752823153885359,0.09664341438113283,0.09779735537625903,-0.3813890564182227,-0.8676992948453786
MU,2016,0.10613905325443787,0.014641569971870605,0.12927345615062386,-1.3834207474659757,0.5358135216540715
AH,2018,0.0018424036281179139,0.09471910200128107,0.0958099365234375,-0.6407397986690128,-0.8482605638642247
