pointid,Country,Lat_DD,Long_DD,E_maize_Ssp126,E_rice_Ssp126,E_cassava_Ssp126,E_agr_Ssp126_Weighted,E_agr_Ssp126_Weighted25perc,E_agr_Ssp126_Weighted75perc,E_agr_Ssp126_PercModelAgree,E_agr_Ssp126_Unweighted,E_agr_Ssp126_Unweighted25perc,E_agr_Ssp126_Unweighted75perc,E_maize_Ssp585,E_rice_Ssp585,E_cassava_Ssp585,E_agr_Ssp585_Weighted,E_agr_Ssp585_Weighted25perc,E_agr_Ssp585_Weighted75perc,E_agr_Ssp585_PercModelAgree,E_agr_Ssp585_Unweighted,E_agr_Ssp585_Unweighted25perc,E_agr_Ssp585_Unweighted75perc,E_fish_Ssp126,E_fish_Ssp126_25perc,E_fish_Ssp126_75perc,E_fish_Ssp585,E_fish_Ssp585_25perc,E_fish_Ssp585_75perc
6920049,Indonesia,2.1958301,128.6040039,-2.92880985298602,5.14232313158727,-0.941825175226045,0.397918598055035,-2.02196749469268,1.65119331588801,55.00000000000001,0.4238960344584018,-1.2618138469498235,1.7812023324050583,-7.18375824290504,7.41860544794906,-1.13807944181789,-1.28800449669716,-5.52461982098352,0.551761828793791,65,-0.30107741225795653,-4.748358738252026,2.736187026671352,-25.82687839489706,-40.03421739015535,-9.08368294398904,-37.17484206140808,-48.007031666581426,-25.367384292519272
8669520,Indonesia,-3.4625001,116.0630035,-5.62414362918705,3.28014665130599,-3.04224406666529,2.61807745937471,0.109831901878571,3.95238509660157,70,-1.79541368151545,-3.726678043021838,0.11544022566159,-9.006213320252,4.52113615436281,-3.9376653512722,3.70893804405552,-1.88746924108368,6.89902232342051,65,-2.807580839053797,-7.568951674578353,-0.18725720924732,-17.7004416360131,-22.386340465411127,-6.046330468309627,-20.427536820745935,-25.99245339719291,-8.597747876819518
9011682,Indonesia,-4.7375002,122.4629974,-4.94542710892411,4.65494786268151,1.9802330840957,0.894661525088362,-1.20355981671233,4.10585993265652,50,0.5632512792843667,-0.9797736600775099,2.788631600064113,-6.42375552219587,8.52926799860455,1.43167076982002,2.88938546958668,-1.20866774516961,6.42142263662924,65,1.1790610820762328,-0.9913234674551166,3.7701938579642666,-10.846714846030547,-17.41233372241825,-3.41224117315444,-17.14676257209353,-24.247306336297818,-7.234425376733816
2248815,Philippines,17.1375008,122.4209976,-2.86392958465844,4.35722691295289,-0.811545001859742,1.41736500772765,-2.13084808446685,3.49474868990846,65,0.227250775478236,-2.790372335884371,2.6978155820946,-5.97189901504416,5.86567566723621,-4.33806543356586,1.67549027229208,-1.90954344810063,4.40268698740507,65,-1.48142959379127,-5.178140509447384,1.2388667239534268,-8.296424023829484,-14.431439327396848,-2.6153401658486537,-6.067421997946749,-22.820598088401287,9.149875064102359
10392995,Madagascar,-13.9208002,47.9625015,-0.800465439028458,6.02908715293383,-3.81175362095186,4.03274510689451,1.52143142219107,5.81699255930785,85,0.4722893643178372,-2.125308407964497,3.389089036015993,-2.42421774393178,8.37386223132224,-5.74164356025505,5.96966173747956,2.94280152609271,9.53641064783829,90,0.06933364237847013,-3.6320944717863033,5.172618217883297,-5.673371629886463,-11.394350163845626,-1.0474294480498247,-5.374593449653554,-7.776441431489827,-0.6700907422466235
9115243,Indonesia,-5.2458301,122.3130035,-4.91137146261155,5.04902347476052,2.05837029839381,0.70912934947492,-1.39974331300335,4.27998392573007,45,0.7320074368475934,-1.0697401180841932,2.94660767556455,-6.38212018246958,9.03162349342961,1.49543909545454,2.66461999012002,-1.17598361093006,6.66954176838294,65,1.3816474688048566,-0.8757062881867493,3.998700589099393,-10.886256702134382,-16.958651685194614,-3.3570378068846938,-17.603019290716436,-22.9955822725059,-6.944490620124102
8056769,Indonesia,-1.6625,136.1710052,NA,4.14038330364906,-1.70615935383551,3.76822735723218,1.22303849191638,6.30983880534804,80,1.217111974906775,NA,NA,NA,5.92716282600304,-2.75980976037153,5.84208430656026,3.05905580297853,8.5220929182687,80,1.5836765328157552,NA,NA,-23.668608080005924,-38.172211555190856,-8.960078578440749,-34.398793021525776,-42.04516315102317,-24.710206591695563
8133135,Indonesia,-1.89583,125.0289993,-1.77463789051018,3.99849733508107,1.91922688056595,2.15248384580348,-0.401086767402471,3.0487568255283,70,1.3810287750456134,-0.7545213489175595,2.855577883869695,-4.74098732338877,4.89375752547391,0.361817823780667,1.54277471349738,-1.24905973012294,3.22870333899621,70,0.171529341955269,-2.67573947139182,2.253533468885714,-18.136249156646898,-24.875857801272396,-7.350590684946831,-25.006695184052443,-34.765685014497734,-14.788113022144797
4587894,Philippines,10.9708004,124.637001,-4.47121491001266,4.11267571337102,-0.47813169610319,-1.29193356446266,-3.54788821289443,1.27352395888816,65,-0.27889029758160977,-2.3855354665243214,1.5667265427017574,-7.13119464690381,6.29535330811948,-2.69288653994582,-2.22572995094419,-4.81744073574406,0.680059194551655,65,-1.1762426262433836,-4.2182474975744,1.6215483954640904,-5.255985142616641,-15.748640953970055,1.659370831928214,-6.984644797559978,-24.773518789556782,5.874911499695607
5202125,Philippines,8.8625002,124.7959976,-4.41458750149231,4.22346970935113,-0.685824560263908,-2.03241973650402,-4.01235066481861,-0.290321266524872,75,-0.2923141174683625,-2.0168826722597566,1.5221928977620784,-7.83947582359473,6.19501256549639,-2.13495807124893,-4.21699379703721,-5.61639074280069,-1.97927019616647,85,-1.2598071097824233,-3.9729579981059233,1.0743766600727667,-8.213716710417582,-16.62384970365499,1.2728335328329066,-12.358057512579038,-26.311044412705165,1.23464596103674
6984150,Indonesia,1.95417,100.887001,-3.57563463573405,3.44363477063057,-0.416565629336415,1.95089093169147,-1.00682287135563,3.72871376893834,70,-0.1828551648132983,-2.3686577418007952,1.1530453181241032,-7.30137703774601,6.50732510017135,-0.100679038487766,4.0627247211158,1.91276167910869,6.87464113055484,80,-0.2982436586874754,-2.602594839935246,1.4900659637069982,-2.8215647592643434,-4.941825728509588,0.3468239636686715,-7.150651157906156,-9.240658818397321,-1.7783680998225277
